Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Tags,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _merebhub_author_name,Meta: merebhub_fulfillment_type,Meta: merebhub_billing_model,Meta: merebhub_billing_interval,Meta: merebhub_trial_days,Meta: merebhub_weekly_sales,Meta: merebhub_app_url
simple,GLOBAL-WIN11PRO,Windows 11 Pro,1,1,visible,"Professional Windows for secure, productive work.","Windows 11 Pro provides business security, productivity, and management capabilities for professional devices. Demo catalog entry: replace the sample price and licensing terms with your approved Ethiopia reseller offer before launch.",taxable,1,100,0,0,1,,15900,"Operating Systems, Productivity",Microsoft,,1,Platform,Windows,1,1,Microsoft,license_key,one_time,,,410,https://www.microsoft.com/windows/business/windows-11-pro
simple,GLOBAL-M365BS,Microsoft 365 Business Standard,1,1,visible,"Office apps, business email, cloud storage, and collaboration.","Microsoft 365 Business Standard combines Word, Excel, PowerPoint, Outlook, Teams, and OneDrive for growing organizations. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,8900,"Productivity, Business",Microsoft,,2,Platform,"Windows, macOS, Web, iOS, Android",1,1,Microsoft,license_key,manual_subscription,yearly,30,395,https://www.microsoft.com/microsoft-365/business/microsoft-365-business-standard
simple,GLOBAL-ADOBECC,Adobe Creative Cloud Pro,1,1,visible,"Professional creative apps and generative AI for teams.","Creative Cloud Pro brings together Photoshop, Illustrator, Premiere Pro, Acrobat Pro, and more creative applications. Demo catalog entry: replace the sample price and term with your approved Ethiopia reseller offer.",taxable,1,100,0,0,1,,35900,"Design, Productivity",Adobe,,3,Platform,"Windows, macOS, Web, iOS, Android",1,1,Adobe,license_key,manual_subscription,yearly,14,372,https://www.adobe.com/creativecloud/business/teams.html
simple,GLOBAL-PHOTOSHOP,Adobe Photoshop,1,1,visible,"Professional image editing, compositing, and design.","Adobe Photoshop provides advanced tools for photography, graphics, compositing, and digital art. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,12500,"Design, Photography",Adobe,,4,Platform,"Windows, macOS, Web, iOS",1,1,Adobe,license_key,manual_subscription,yearly,14,348,https://www.adobe.com/products/photoshop.html
simple,GLOBAL-ACROBAT,Adobe Acrobat Pro,1,1,visible,"Create, edit, sign, and protect PDF documents.","Adobe Acrobat Pro helps teams create, edit, convert, sign, and securely share PDF documents. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,9800,"Productivity, Business",Adobe,,5,Platform,"Windows, macOS, Web, iOS, Android",1,1,Adobe,license_key,manual_subscription,yearly,14,331,https://www.adobe.com/acrobat/acrobat-pro.html
simple,GLOBAL-RESOLVE,DaVinci Resolve Studio,1,1,visible,"Professional editing, color, visual effects, and audio in one application.","DaVinci Resolve Studio combines professional editing, color correction, visual effects, motion graphics, and Fairlight audio tools. Demo catalog entry: replace the sample ETB price with your approved local offer.",taxable,1,100,0,0,1,,16500,"Video, Design",Blackmagic Design,,6,Platform,"Windows, macOS, Linux",1,1,Blackmagic Design,license_key,one_time,,,320,https://www.blackmagicdesign.com/products/davinciresolve
simple,GLOBAL-SLACKPRO,Slack Pro,1,1,visible,"Team messaging, collaboration, and workflow automation.","Slack Pro organizes conversations, files, calls, and connected tools for productive teams. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,7200,"Communication, Productivity",Salesforce,,7,Platform,"Windows, macOS, Linux, Web, iOS, Android",1,1,Salesforce,web_access,manual_subscription,yearly,30,302,https://slack.com/intl/en-et/pricing
simple,GLOBAL-ZOOMPRO,Zoom Workplace Pro,1,1,visible,"Meetings, team chat, scheduling, and collaboration.","Zoom Workplace Pro brings meetings, chat, scheduling, whiteboards, and productivity tools into one workplace platform. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,8400,"Communication, Productivity",Zoom,,8,Platform,"Windows, macOS, Linux, Web, iOS, Android",1,1,Zoom,web_access,manual_subscription,yearly,30,294,https://www.zoom.com/en/products/collaboration-tools/
simple,GLOBAL-NOTIONBIZ,Notion Business,1,0,visible,"Connected docs, projects, knowledge, and AI.","Notion Business gives teams one workspace for documentation, project management, knowledge, and AI-assisted work. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,6900,"Productivity, Business",Notion,,9,Platform,"Windows, macOS, Web, iOS, Android",1,1,Notion Labs,web_access,manual_subscription,yearly,30,286,https://www.notion.com/product
simple,GLOBAL-GWSBS,Google Workspace Business Standard,1,0,visible,"Business Gmail, Drive, Meet, Docs, Sheets, and collaboration.","Google Workspace Business Standard brings business email, cloud storage, meetings, documents, and collaboration together. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,7500,"Productivity, Business",Google,,10,Platform,"Web, Windows, macOS, iOS, Android",1,1,Google,web_access,manual_subscription,yearly,14,278,https://workspace.google.com/business/
simple,GLOBAL-CANVAPRO,Canva Pro,1,0,visible,"Visual design, brand tools, templates, and content creation.","Canva Pro helps individuals and teams create presentations, social content, videos, and branded designs. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,5800,"Design, Productivity",Canva,,11,Platform,"Web, Windows, macOS, iOS, Android",1,1,Canva,web_access,manual_subscription,yearly,30,269,https://www.canva.com/pro/
simple,GLOBAL-FIGMAPRO,Figma Professional,1,0,visible,"Collaborative product design and prototyping.","Figma Professional supports collaborative interface design, prototyping, design systems, and developer handoff. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,8100,"Design, Developer Tools",Figma,,12,Platform,"Web, Windows, macOS",1,1,Figma,web_access,manual_subscription,yearly,30,257,https://www.figma.com/pricing/
simple,GLOBAL-DROPBOX,Dropbox Essentials,1,0,visible,"Secure cloud storage, sharing, and document workflows.","Dropbox Essentials provides cloud storage, file recovery, sharing, signature, and document workflow features. Demo catalog entry: replace the sample price and term with your approved local offer.",taxable,1,100,0,0,1,,7600,"Productivity, Utilities",Dropbox,,13,Platform,"Windows, macOS, Linux, Web, iOS, Android",1,1,Dropbox,web_access,manual_subscription,yearly,30,244,https://www.dropbox.com/plans
